country,location_name,latitude,longitude,last_updated,temperature_fahrenheit,wind_mph,humidity,cloud,uv_index
Kenya,Nairobi,-1.28,36.82,2024-05-16,77,6.9,54,75,6
Kiribati,Tarawa,-0.88,169.53,2024-05-17,83.8,10.7,77,69,1
Kuwait,Kuwait City,29.37,47.96,2024-05-16,84.2,13.6,51,0,8
Kyrghyzstan,Bishkek,42.87,74.6,2024-05-16,59.6,8.3,97,100,4
Indonesia,Laos,-8.18,114.32,2024-05-16,69.2,2.7,95,75,1
Latvia,Riga,56.95,24.1,2024-05-16,69.8,3.8,40,0,5
Lebanon,Beirut,33.87,35.51,2024-05-16,73.4,4.3,61,0,6
Lesotho,Maseru,-29.32,27.48,2024-05-16,74.1,11.4,24,4,7
Liberia,Monrovia,6.31,-10.8,2024-05-16,87.8,5.6,75,75,7
Thailand,Nan,18.78,100.78,2024-05-16,80.6,2.2,89,0,1
Liechtenstein,Vaduz,47.13,9.52,2024-05-16,66.2,8.1,60,25,3
Lithuania,Vilnius,54.68,25.32,2024-05-16,64.4,8.1,34,0,4
Luxembourg,Luxembourg,49.61,6.13,2024-05-16,62.6,10.5,63,50,4
Madagascar,Antananarivo,-18.92,47.52,2024-05-16,66.2,11.9,64,50,6
Malawi,Lilongwe,-13.98,33.78,2024-05-16,75.2,9.4,47,75,7
Malaysia,Kuala Lumpur,3.17,101.7,2024-05-16,77,2.2,100,50,1
Maldives,Felidhoo,3.48,73.53,2024-05-16,85.3,13.9,77,38,1
Mali,Bamako,12.65,-8,2024-05-16,87.8,12.5,55,25,8
Malta,Valletta,35.9,14.51,2024-05-16,78.8,6.9,61,0,5
Marshall Islands,Majuro,7.1,171.38,2024-05-17,82.4,10.5,84,100,1
Mauritania,Nouakchott,18.09,-15.98,2024-05-16,72.8,16.1,65,0,6
Mauritius,Port Louis,-20.16,57.5,2024-05-16,75.2,13.6,74,50,1
Mexico,Mexico City,19.43,-99.13,2024-05-16,55.4,4.3,67,0,5
Micronesia,Palikir,6.92,158.15,2024-05-17,77,2.5,94,100,1
Iran,Chi Chi Khvar,36.26,46.59,2024-05-16,62.9,11.4,44,18,5
Monaco,Monaco,43.73,7.42,2024-05-16,68,18.6,73,25,4
Mongolia,Ulaanbaatar,47.92,106.92,2024-05-16,60.8,6.9,36,0,1
Montenegro,Podgorica,42.44,19.26,2024-05-16,75.2,2.2,57,0,6
Morocco,Rabat,34.03,-6.84,2024-05-16,68,11.9,53,50,5
Mozambique,Maputo,-25.97,32.59,2024-05-16,78.8,9.4,61,25,7
